מס',כלל,הסבר הכלל,מקור,Ver,חסר
177,למאי נפקא מינה,"היכי דמי' שואל באיזה נושא נאמר הדין הזה.
למאי נ""מ, כגון שהנושא ידוע, ושואל למאי נ""מ, כלומר מה לי שיהיה כך.","של""ה",11,
178,למימרא,"בא לחדש
לומר ש... [משמע ש…] כהקדמה לקושיה, מחדדים את המסקנה היוצאת ממה שנאמר קודם לכן, ומתוך כך מקשים על מסקנה זו",פורטל הדף היומי,7,
179,לעולם,"אלא - דוחה את כל מה שנאמר קודם 
לעולם - דחיה, אך יש דרך לחזור ",,12,
180,לעולם אימא לך,"2 חלוקות + 2 קושיות + תירוץ ל-1 + קושיא ל-1, לכן חוזרים 
רבמ""ם - קושטא דמילתא 
רשב""א - דחיה","של""ה
יד מלאכי 
",11,
181,מאי או אינו קאמר,,,,אין הסבר
182,מאי איכא למימר,"ואין הכוונה שיש עליו קושיא מפורשת, אלא לומר שאין לו הכרע לדבריו",כללי הגמרא ,11,
,מאי איריא,מדוע לימד דווקא בזה,,14,
183,מאי בינייהו,היא שאלה על מחלוקת אמוראים בטעם הדין,"של""ה",11,
184,מאי הוי עלה,לידע איך הוא פסקא דדינא אחר שקלא וטריא,יד מלאכי,11,
185,מאי הוי עלה ,לבירור ההלכה אחרי השקלא וטריא,הליכות עולם ,8,
186,מאי ואומר,"כיצד אנו למדין מן המקרא הראשון, ולמה נאמרו שנים","רש""י ביצה ה:",11,
187,מאי טעמא,"שאלת מנא הני מילי על יחיד - הלכה כמותו
שאלת מאי טעמא על יחיד - אין הלכה כמותו",גופי הלכות,9,
188,מאי לאו,מאלו השני צדדין מהו האמיתי ?  וצריך להפריד בין מאי (מהו) -ללאו,כללי שמואל,11,
189,מאי משמע,מֵאֵי משמע - משמעות דקרא מאיזה מקום הוא,"של""ה",11,
190,מאי קא משמע לן - פשיטא,"שמקשה 'מאי קא משמע לן' 'פשיטא',
ומשיב 'מהו דתימא' כך וכך 'קא משמע לן', 
והדר מקשה 'ואימא הכי נמי', ומשיב ","של""ה",11,
191,"מאי קמ""ל תנינא","כאשר אמורא מביא איזה דין , והדין ההוא כתוב במשנה , מקשים 'מאי קמ""ל  תנינא?'",כללי שמואל,11,
192,מאי קראה,"מֵאֵי קראה 
מנא לן \ מנא הני מילי - הוכחה מפסוק 
מאי קרא - אסמכתא מפסוק בלבד, מכיון שזאת הלכה למשה מסיני",יד מלאכי,7,
193,מאי קראה,אסמכתא ורמז בעלמא בעניינים שהם מדברי סופרים,יד מלאכי,8,
194,מאי קשיא ליה,,,,אין הסבר
195,מאי שנא \ ורמינהו,"מאי שנא - סתירה בעיקרון הסברא 
ורמינהו - סתירה בדין

'מאי שנא = מאי טעמא",גופי הלכות ,11,
196,מאן דהוא,אחד מן התלמידים שלא זכרו שמו,ר' אהרן מגיד ,11,
197,מאן חכמים,מאן חכמים ? רבי פלוני. שהטעם בהיות המקבלים רבים שקבלו מן החכם ההוא,כללי שמואל ,11,
